,customer_id,age,gender,location,monthly_income,monthly_emi_outflow,current_outstanding,credit_utilization_ratio,num_open_loans,repayment_history_score,dpd_last_3_months,num_hard_inquiries_last_6m,recent_credit_card_usage,recent_loan_disbursed_amount,total_credit_limit,months_since_last_default,target_credit_score_movement
0,8270,59,Male,Mumbai,78905.04,26979.39,356582.82,0.4,1,78.48,1,0,966.53,62628,893297.39,41,stable
1,1860,30,Female,Bangalore,75886.74,32681.9,475383.01,0.51,1,86.76,1,1,36265.75,196961,932999.43,17,stable
2,6390,60,Female,Chennai,64520.93,18856.84,275272.88,0.58,1,68.94,1,0,14186.36,364934,474188.91,46,stable
3,6191,37,Female,Lucknow,69658.93,34876.62,311188.03,0.54,2,65.38,21,0,13090.85,482884,572924.17,16,stable
4,6734,57,Male,Chennai,24134.79,2423.28,221145.27,0.38,2,64.45,15,2,12195.46,449806,577310.07,9,stable
5,7265,35,Female,Hyderabad,79748.68,30064.77,177162.88,0.98,2,61.23,5,1,23787.88,91364,180272.11,8,stable
6,1466,29,Male,Bangalore,47829.46,17632.47,270251.1,0.27,1,56.37,48,0,20712.46,380700,1007983.81,14,stable
7,5426,52,Female,Chennai,47420.66,28064.74,375068.59,0.33,5,90.89,14,1,5491.14,137239,1139109.01,56,stable
8,6578,43,Female,Hyderabad,86396.46,29249.86,71138.19,0.37,5,89.26,10,0,7584.12,377650,194128.23,35,stable
9,9322,31,Male,Jaipur,38301.54,16189.3,274983.89,0.23,0,50.48,3,1,1622.07,323058,1198744.07,12,stable
10,2685,33,Female,Bhopal,86157.27,36854.28,384217.38,0.23,3,35.47,6,0,14632.59,389078,1500000.0,9,stable
11,1769,38,Female,Delhi,69071.62,37611.99,464258.51,0.22,1,97.48,7,0,23431.1,259185,1500000.0,40,stable
12,7949,29,Male,Ahmedabad,83136.54,20329.47,345530.26,0.29,1,56.69,8,1,16307.58,482884,1184620.71,51,stable
13,3433,62,Female,Jaipur,40347.08,8399.06,327580.36,0.39,0,57.58,11,0,19798.52,138664,841992.67,13,stable
14,6311,25,Male,Bangalore,78709.04,22967.93,410151.04,0.31,2,75.64,6,1,7600.61,389078,1332527.52,34,stable
15,6051,63,Female,Chennai,68513.29,12471.45,402184.99,0.08,2,49.14,32,0,25506.03,473435,1500000.0,45,stable
16,7420,42,Female,Hyderabad,59028.2,24343.6,187637.13,0.76,2,70.46,4,1,14823.03,280003,245492.58,11,stable
17,2184,52,Female,Delhi,42466.62,23072.2,112034.45,0.23,3,71.52,2,3,30625.61,91364,485330.78,12,stable
18,5555,22,Female,Bhopal,58201.1,21864.22,138439.26,0.41,0,87.5,6,1,13852.13,364934,339688.74,31,stable
19,4385,41,Male,Bhopal,23760.27,11031.74,113321.7,0.09,2,73.71,18,0,11250.09,91364,1287380.76,43,stable
20,7396,48,Male,Bhopal,39131.05,13808.91,240508.78,0.5,1,77.56,4,1,2734.0,400307,478197.95,9,stable
21,9666,44,Female,Chennai,59319.31,17598.39,390333.6,0.31,4,74.4,4,0,12782.56,200083,1269418.92,17,stable
22,3558,44,Male,Jaipur,49987.69,29118.22,393948.93,0.69,3,66.18,1,0,13873.46,377197,567742.56,49,stable
23,8849,34,Female,Pune,75936.53,10184.07,377140.4,0.46,3,83.9,27,0,5315.19,158601,820069.05,13,stable
24,3047,57,Male,Pune,61611.58,18758.35,470358.16,0.13,2,58.62,9,0,17674.15,233696,1500000.0,18,stable
25,3747,47,Female,Ahmedabad,70980.7,23931.81,197826.25,0.21,3,73.38,0,4,17379.23,167968,946561.24,59,stable
26,1189,44,Male,Mumbai,87284.13,27483.38,74487.57,0.25,1,98.86,2,3,11417.52,306121,295774.05,1,stable
27,3734,26,Male,Ahmedabad,89662.84,37332.82,205761.92,0.11,2,69.81,4,0,14965.29,233696,1500000.0,58,stable
28,4005,46,Male,Bhopal,76689.8,19217.6,414239.92,0.96,1,68.29,17,1,17273.51,368478,431115.58,17,stable
29,5658,35,Male,Delhi,52474.01,19197.83,213766.23,0.77,2,84.09,7,1,14155.06,221694,278917.0,37,stable
30,2899,49,Female,Pune,91218.12,45078.68,306828.11,0.39,3,77.37,1,1,0.0,472413,783595.73,56,stable
31,8734,56,Male,Delhi,20000.0,6740.56,50374.39,0.77,1,78.51,6,2,14982.77,74527,65159.66,14,stable
32,2267,30,Male,Jaipur,52958.69,29245.15,449703.21,0.2,3,85.86,7,5,4262.61,449806,1500000.0,56,stable
33,2528,48,Male,Lucknow,88589.05,40110.86,378764.35,0.39,4,52.05,0,3,22669.2,376045,975447.19,18,stable
34,4556,29,Male,Bangalore,37831.1,8820.77,321468.18,0.46,2,62.73,0,1,25380.46,472413,697669.48,7,stable
35,4890,41,Male,Delhi,87814.48,26803.63,208692.21,0.12,1,81.82,2,1,28929.28,387916,1500000.0,13,stable
36,9838,30,Male,Lucknow,58688.86,12882.42,443193.69,0.24,2,65.5,1,4,18057.31,169802,1500000.0,54,stable
37,6393,24,Male,Delhi,45743.85,14466.08,306439.01,0.6,3,60.22,22,0,22430.49,0,509360.14,13,stable
38,9792,24,Female,Lucknow,74590.75,20226.84,393947.48,0.05,0,100.0,4,2,10310.52,274846,1500000.0,11,stable
39,9433,26,Female,Bhopal,85201.33,39892.05,236724.23,0.05,2,64.0,5,3,6506.63,370877,1500000.0,48,stable
40,8513,46,Female,Ahmedabad,77304.71,33082.77,366600.46,0.5,3,63.02,2,2,15783.74,85184,737003.79,34,stable
41,3612,60,Male,Jaipur,61099.6,12457.99,349691.08,0.55,0,48.25,17,1,14726.31,194441,632820.9,43,stable
42,8041,36,Male,Mumbai,20000.0,2628.47,313424.89,0.83,3,77.54,11,1,665.62,65120,379097.26,49,stable
43,7235,28,Female,Bhopal,54056.55,25310.69,288607.2,0.75,1,86.4,5,5,12176.38,158601,384550.17,53,stable
44,6486,48,Female,Jaipur,90505.52,52801.35,275984.09,0.27,2,58.76,10,0,10481.59,74527,1022021.74,35,stable
45,8099,36,Female,Chennai,45850.35,20851.11,10000.0,0.22,3,51.75,7,1,25614.62,378267,44772.76,59,stable
46,1775,58,Male,Kolkata,82902.27,37951.06,349536.18,0.43,2,66.29,0,2,30068.72,323058,817937.77,24,stable
47,9226,21,Female,Pune,32060.41,9299.52,260554.92,0.72,4,68.14,2,2,2104.76,233696,361341.68,4,stable
48,4152,39,Female,Pune,85149.35,38205.24,324965.21,0.51,1,63.03,4,2,22437.94,0,633112.87,23,stable
49,2585,37,Male,Delhi,22073.22,8433.34,153766.0,0.16,1,72.94,6,2,12275.09,378267,955469.42,58,stable
